Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Decay Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c), Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c), Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), Event typetipo de decaimento
2.04100743434, 0.355512740253, 0.174184931555, 0.276412090252, 3.14159265359, 1878.50187434, 0.704101712334, 0.211819423631, 0.300836398948, 0.297800844643, 0.150672628737, 0.505950978471, 2521.41028455, -244.742984993, -22.8401963961, 4, 3
26.5556356519, 1.6337035243, 0.0615200308408, 0.0156427531916, 3.14159265359, 337.36666006, 5.05547172707, 0.315011915023, 0.0623110823341, 14.7029641288, 1.14223607338, 0.0776874692322, -2468.23040852, 14.6573527042, 48.443085553, 4, 3
60.0310201243, 0.934775475472, 0.015571540739, 0.0250287159881, 3.14159265359, 32.0389090008, 27.4439416714, 0.167261245194, 0.00609465095055, 27.4644255584, 0.852519804605, 0.031040875142, -2466.52899344, -40.1769399248, -13.779121564, 4, 3
48.1294408115, 0.996954219291, 0.02071402041, 0.0241604655494, 3.14159265359, 60.0468168888, 27.4644254506, 0.852519801258, 0.031040875142, 15.5409156545, 0.379370366212, 0.0244110691188, -2434.93320139, -41.3243789928, -14.7592076574, 4, 3
18.5484947141, 0.711684959883, 0.0383688795695, 0.283268552741, 3.14159265359, 501.604842577, 14.3827193009, 0.306296190361, 0.0212961251591, 0.533683159374, 0.13824847712, 0.259045980169, 2278.63663862, 129.510931735, 53.0850387822, 4, 3
89.5426994812, 1.05665423044, 0.0118005625982, 0.0121528588819, 3.14159265359, 77.8955907189, 10.563799769, 0.0554110902375, 0.00524537490764, 56.9796883024, 0.604246232047, 0.0106045899872, -2402.03230451, 17.0449111478, -19.7765888241, 4, 3
37.7068826123, 0.989100250973, 0.0262312920732, 0.0445293390391, 3.14159265359, 107.484560728, 14.8167831285, 0.152613615398, 0.0103000505626, 14.7648590747, 0.809115718653, 0.0548000976209, -2463.51234378, -3.81877809778, -17.4955617299, 4, 3
31.8780926556, 1.43907693489, 0.0451431316936, 0.0549297570238, 3.14159265359, 187.180238728, 6.22836795099, 0.483461516924, 0.0776225041181, 18.108620111, 0.819177278413, 0.0452368691481, -2442.39588085, 56.9889378513, -21.2644458425, 4, 3
24.4049619011, 0.268713154487, 0.0110105951231, 0.0854080003822, 3.14159265359, 78.8433149217, 11.8816065357, 0.437780302265, 0.0368452112052, 5.23018599128, 0.270676693796, 0.0517527855122, -2332.61395631, -36.0311566159, -32.4936404797, 4, 3
41.9452225134, 1.55822208523, 0.0371489764951, 0.0735789035067, 3.14159265359, 132.284232894, 4.82418668885, 0.134344758259, 0.0278481673542, 5.02283690352, 0.288036789417, 0.0573454394298, -2458.93405183, -10.5396220846, 60.9042252996, 4, 3
62.492805371, 0.962890628699, 0.0154080237394, 0.0395368619016, 3.14159265359, 70.3295157299, 12.1954513581, 0.440106272429, 0.0360877395601, 43.1912710607, 0.638422294717, 0.0147812805467, -2474.95561481, 21.3241845803, 54.8205586106, 4, 3
39.3973475383, 1.89639993097, 0.0481352184717, 0.033484470678, 3.14159265359, 237.604440383, 6.784145929, 0.312921195278, 0.0461253632444, 30.715725295, 1.5944583186, 0.0519101633867, -2470.78646785, 26.0325738001, -9.94543691398, 4, 3
16.398239954, 0.433223615944, 0.0264189094171, 0.0354436972035, 3.14159263869, 126.713771909, 5.35967793841, 0.260690032663, 0.0486391226597, 3.63450519275, 0.049030235182, 0.0134902091431, -2465.68118813, -38.5970039317, -3.75752445651, 4, 3
